"title","abstract","authors","year","venue","article_url","pdf_url","source_used","paper_id","platform","topic","doi","url","llm_flag","ol_flag","decision_stage1","reason","source_file"
"CuriousLLM: Elevating Multi-Document Question Answering with LLM-Enhanced Knowledge Graph Reasoning","","Zukang Yang; Zixuan Zhu; Jennifer Zhu","2025","Proceedings of the 2025 Conference of the Nations of the Americas Chapter of the Association for Computational Linguistics: Human Language Technologies (Volume 3: Industry Track)","https://aclanthology.org/2025.naacl-industry.23.pdf","https://aclanthology.org/2025.naacl-industry.23.pdf","openalex:doi|crossref:doi|unpaywall","yang-etal-2025-curiousllm","ACL","OL","doi = ""10.18653/v1/2025.naacl-industry.23","url = ""https://aclanthology.org/2025.naacl-industry.23/","true","true","include","LLM+OL terms in t/abs","screening/acl/OL/20251021_acl_OL_llm_screen.csv"
"title = ""{NLP}@{IIMAS}-{CLTL} at Multilingual Counterspeech Generation: Combating Hate Speech Using Contextualized Knowledge Graph Representations and {LLM}s","","","2025","booktitle = ""Proceedings of the First Workshop on Multilingual Counterspeech Generation","url = ""https://aclanthology.org/2025.mcg-1.4/","","none","marquez-etal-2025-nlp","ACL","OL","","url = ""https://aclanthology.org/2025.mcg-1.4/","true","true","include","LLM+OL terms in t/abs","screening/acl/OL/20251021_acl_OL_llm_screen.csv"
"title = ""On the Feasibility of {LLM}-based Automated Generation and Filtering of Competency Questions for Ontologies","","","2025","booktitle = ""Proceedings of the 5th Conference on Language","url = ""https://aclanthology.org/2025.ldk-1.15/","","none","mahlaza-etal-2025-feasibility","ACL","OL","","url = ""https://aclanthology.org/2025.ldk-1.15/","true","true","include","LLM+OL terms in t/abs","screening/acl/OL/20251021_acl_OL_llm_screen.csv"
"Capacity Matters: a Proof-of-Concept for Transformer Memorization on Real-World Data","","Anton Changalidis; Aki Härmä","2025","Proceedings of the First Workshop on Large Language Model Memorization (L2M2)","https://aclanthology.org/2025.l2m2-1.17.pdf","https://aclanthology.org/2025.l2m2-1.17.pdf","openalex:doi|crossref:doi|unpaywall","changalidis-harma-2025-capacity","ACL","OL","doi = ""10.18653/v1/2025.l2m2-1.17","url = ""https://aclanthology.org/2025.l2m2-1.17/","true","true","include","LLM+OL terms in t/abs","screening/acl/OL/20251021_acl_OL_llm_screen.csv"
"title = ""Learn Together: Joint Multitask Finetuning of Pretrained {KG}-enhanced {LLM} for Downstream Tasks","","","2025","booktitle = ""Proceedings of the Workshop on Generative AI and Knowledge Graphs (GenAIK)","url = ""https://aclanthology.org/2025.genaik-1.2/","","none","martynova-etal-2025-learn","ACL","OL","","url = ""https://aclanthology.org/2025.genaik-1.2/","true","true","include","LLM+OL terms in t/abs","screening/acl/OL/20251021_acl_OL_llm_screen.csv"
"title = ""Performance and Limitations of Fine-Tuned {LLM}s in {SPARQL} Query Generation","","","2025","booktitle = ""Proceedings of the Workshop on Generative AI and Knowledge Graphs (GenAIK)","url = ""https://aclanthology.org/2025.genaik-1.8/","","none","mecharnia-daquin-2025-performance","ACL","OL","","url = ""https://aclanthology.org/2025.genaik-1.8/","true","true","include","LLM+OL terms in t/abs","screening/acl/OL/20251021_acl_OL_llm_screen.csv"
"title = ""Can {LLM}s be Knowledge Graph Curators for Validating Triple Insertions?","","","2025","booktitle = ""Proceedings of the Workshop on Generative AI and Knowledge Graphs (GenAIK)","url = ""https://aclanthology.org/2025.genaik-1.10/","","none","regino-dos-reis-2025-llms","ACL","OL","","url = ""https://aclanthology.org/2025.genaik-1.10/","true","true","include","LLM+OL terms in t/abs","screening/acl/OL/20251021_acl_OL_llm_screen.csv"
"Time-aware ReAct Agent for Temporal Knowledge Graph Question Answering","","Qianyi Hu; Xinhui Tu; Cong Guo; Shunping Zhang","2025","Findings of the Association for Computational Linguistics: NAACL 2025","https://aclanthology.org/2025.findings-naacl.334.pdf","https://aclanthology.org/2025.findings-naacl.334.pdf","openalex:doi|crossref:doi|unpaywall","qianyihu-etal-2025-time","ACL","OL","doi = ""10.18653/v1/2025.findings-naacl.334","url = ""https://aclanthology.org/2025.findings-naacl.334/","true","true","include","LLM+OL terms in t/abs","screening/acl/OL/20251021_acl_OL_llm_screen.csv"
"GLTW: Joint Improved Graph Transformer and LLM via Three-Word Language for Knowledge Graph Completion","","Kangyang Luo; Yuzhuo Bai; Cheng Gao; Shuzheng Si; Zhu Liu; Yingli Shen; Zhitong Wang; Cunliang Kong; Wenhao Li; Yufei Huang; Ye Tian; Xuantang Xiong; Lei Han; Maosong Sun","2025","Findings of the Association for Computational Linguistics: ACL 2025","https://aclanthology.org/2025.findings-acl.591.pdf","https://aclanthology.org/2025.findings-acl.591.pdf","openalex:doi|crossref:doi|unpaywall","luo-etal-2025-gltw","ACL","OL","doi = ""10.18653/v1/2025.findings-acl.591","url = ""https://aclanthology.org/2025.findings-acl.591/","true","true","include","LLM+OL terms in t/abs","screening/acl/OL/20251021_acl_OL_llm_screen.csv"
"GNN-RAG: Graph Neural Retrieval for Efficient Large Language Model Reasoning on Knowledge Graphs","","Costas Mavromatis; George Karypis","2025","Findings of the Association for Computational Linguistics: ACL 2025","https://aclanthology.org/2025.findings-acl.856.pdf","https://aclanthology.org/2025.findings-acl.856.pdf","openalex:doi|crossref:doi|unpaywall","mavromatis-karypis-2025-gnn","ACL","OL","doi = ""10.18653/v1/2025.findings-acl.856","url = ""https://aclanthology.org/2025.findings-acl.856/","true","true","include","LLM+OL terms in t/abs","screening/acl/OL/20251021_acl_OL_llm_screen.csv"
